booking_id,booking_time,currency,destination,booking_user_id,language,origin,partner_id,passengers,pos,session_id,user_agent,num_requests,fare,supplier,cabin_class,carrier_1,carrier_2,flight_num_1,flight_num_2,departure_datetime_1,departure_datetime_2,arrival_datetime_1,arrial_datetime_2,itinerary_id
7ec12305-ba84-419a-8fc0-6aaf78d9abb2,2017-02-01 00:00:46,USD,SJD,36195bda-ec40-4907-9428-c4fe11bd87fa,en,LAX,91,1,US,e0ae1ecd-8715-4577-bca4-604cf3a58d0e,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-G935A Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",1,286.79,91,economy,AA,AA,AA237,AA237,2017-05-30T08:35:00,2017-05-30T11:58:00,2017-06-03T13:00:00,2017-06-03T14:36:00,c53826cf-1fba-42a6-a765-941628e1901e
5eb6e42e-bcdc-4b0a-8b3a-744b4ef1d805,2017-02-01 00:01:03,USD,LAX,025ee32b-2a0b-4987-b275-893f148ab259,en,CMH,91,1,US,262b200e-b183-48ab-b737-72c251ca0ff3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",1,192.2,91,economy,AA,,AA659,,2017-03-29T16:35:00,2017-03-29T18:53:00,,,2e3afcd8-7d56-4b49-a71b-f85c23e1b807
d3db456d-538d-4f98-a2a0-d6bcedf3b459,2017-02-01 00:01:04,USD,MCO,f69465d7-cdb2-4dd0-98ad-6362423a8dc3,en,EGE,91,1,US,97d78806-2f65-48af-9d21-e7f9bb6a667c,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,615.6,91,economy,UA; UA,UA; UA,UA4475; UA564,UA1191; UA1252,2017-02-10T07:52:00; 2017-02-10T11:00:00,2017-02-10T09:03:00; 2017-02-10T16:31:00,2017-02-13T08:47:00; 2017-02-13T11:40:00,2017-02-13T10:30:00; 2017-02-13T13:41:00,619b0f7c-825f-47b1-a191-300862feff80
b9133358-7e81-4aea-bce8-8c79823c4ac8,2017-02-01 00:01:12,USD,LHR,36ba8a8c-8c47-4dc6-bd70-0b3ae071c8cf,en,PHX,91,2,US,1eb74ec2-e6d7-4423-a1e3-de2a411a4aed,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N910P Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",1,507.46,91,economy,DL; DL,DL; DL,DL5852; DL4414,DL11; DL1516,2017-05-10T13:13:00; 2017-05-10T18:30:00,2017-05-10T14:45:00; 2017-05-11T12:55:00,2017-05-28T12:55:00; 2017-05-28T17:50:00,2017-05-28T16:05:00; 2017-05-28T19:11:00,37a44686-8347-4c72-8690-c9432349f9a6
4699db09-65c2-492f-9aa6-c9e7734a60c1,2017-02-01 00:01:25,USD,LHR,b1a66917-ca3e-457e-8bb2-79b6cd86ca7c,en,SFO,91,1,US,4651b45f-2325-48e2-b55e-e4fd60994d6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",1,888.86,91,economy,TP; TP; TP,TP; TP; TP,TP8052; TP218; TP352,TP353; TP209; TP8051,2017-03-06T08:00:00; 2017-03-06T20:00:00; 2017-03-07T09:50:00,2017-03-06T16:35:00; 2017-03-07T07:15:00; 2017-03-07T12:40:00,2017-03-09T06:00:00; 2017-03-09T16:50:00; 2017-03-10T07:00:00,2017-03-09T08:35:00; 2017-03-09T20:15:00; 2017-03-10T10:44:00,b84a4eca-fd5f-4794-afaa-e1d0e7231537
75ca3bdd-013e-4dee-9e52-2c0c3df9ae4b,2017-02-01 00:01:34,USD,PBI,7864485d-5c63-45ee-9e4d-a3c43e078b36,en,FLO,91,3,US,6619e1b4-7335-4ff3-9b9b-88bdc65ed715,"Mozilla/5.0 (Linux; Android 6.0; RCT6513W87 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",1,352.6,91,economy,AA; AA,AA; AA,AA4933; AA1846,AA539; AA4860,2017-05-26T05:25:00; 2017-05-26T07:40:00,2017-05-26T06:16:00; 2017-05-26T09:31:00,2017-05-28T08:25:00; 2017-05-28T13:00:00,2017-05-28T10:18:00; 2017-05-28T13:50:00,ead1e4c6-6d82-4aed-9d65-94e4b4d67ab0
6d22fcde-3853-4918-b5d0-bf35a6017f09,2017-02-01 00:02:07,USD,MCO,a08fa965-3ced-4569-8ff3-cee8c037bd32,en,LGA,91,1,US,29beae23-c9aa-4de9-8bb1-13e27532ce6d,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930T Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",1,395.64,91,economy,B6,B6,B6499,B6198,2017-02-23T21:08:00,2017-02-24T00:06:00,2017-02-26T06:00:00,2017-02-26T08:31:00,9430c9fc-23d7-4025-bbc5-e2b7cf845076
a0115031-4848-4dbd-bb52-a22296740ea5,2017-02-01 00:02:30,USD,TPA,1e369b0e-986d-4b47-a024-4c1988323c24,en,DFW,91,1,US,ae3e26c4-9b60-49ef-ab8a-3fe9a46b1252,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",1,187.43,91,economy,AA,NK,AA2488,NK813,2017-02-15T07:01:00,2017-02-15T10:15:00,2017-02-22T13:12:00,2017-02-22T15:02:00,214b08c3-302d-427c-adf5-3967cc4e508e
a6d161fa-84ab-40c4-997c-b8db9f8e456e,2017-02-01 00:02:31,USD,RDU,21290064-ee24-4939-941f-c18b8b81d3db,en,ICT,91,3,US,bb73036e-b310-435e-9cfd-fbb9c29ad056,"Mozilla/5.0 (Linux; Android 5.1; XT1526 Build/LPI23.29-18-S.12) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36",1,376.6,91,economy,AA; AA,AA; AA,AA5769; AA1160,AA1349; AA5977,2017-03-24T05:00:00; 2017-03-24T07:10:00,2017-03-24T06:22:00; 2017-03-24T10:42:00,2017-03-28T07:00:00; 2017-03-28T10:40:00,2017-03-28T09:15:00; 2017-03-28T11:54:00,4e7280ed-5878-45b7-8572-271d645815aa
